epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,4230.54,0.58009,0.36028,1.07992,0.99559,0.98924,0.99452,0.89382,0.4921,0.26266,1.00352,0.003961,0.003961,0.003961
63,4300.44,0.56471,0.34954,1.07098,0.99089,1,0.99332,0.893,0.49563,0.26072,1.00727,0.003862,0.003862,0.003862
64,4370.49,0.57981,0.35644,1.07461,0.98622,0.99561,0.99394,0.87915,0.51452,0.27148,1.02722,0.003763,0.003763,0.003763
65,4440.25,0.56321,0.34772,1.0631,0.99064,0.99123,0.99399,0.88651,0.49784,0.26509,1.00809,0.003664,0.003664,0.003664
66,4508.91,0.545,0.34012,1.06096,0.99378,0.99123,0.99399,0.88813,0.49596,0.26411,1.01568,0.003565,0.003565,0.003565
67,4577.88,0.56382,0.35344,1.06642,0.98984,0.98684,0.99438,0.88939,0.49628,0.2683,1.0099,0.003466,0.003466,0.003466
68,4645.33,0.55633,0.34729,1.05868,0.98694,0.99452,0.99398,0.88961,0.49543,0.26436,1.00217,0.003367,0.003367,0.003367
69,4713.65,0.55279,0.34513,1.06243,0.9904,0.99561,0.99398,0.89353,0.48661,0.25383,0.99648,0.003268,0.003268,0.003268
70,4779.73,0.54585,0.34003,1.056,0.9913,0.99957,0.99456,0.90163,0.46983,0.24876,0.99021,0.003169,0.003169,0.003169
71,4846.58,0.53541,0.3385,1.05302,0.99445,0.99123,0.99421,0.90859,0.46249,0.25084,0.98595,0.00307,0.00307,0.00307
72,4911.79,0.53853,0.33763,1.05265,0.99114,0.99561,0.99408,0.88703,0.48642,0.25385,1.00775,0.002971,0.002971,0.002971
73,4978.1,0.54183,0.33907,1.05855,0.99475,0.99561,0.99456,0.89704,0.46992,0.24602,0.98626,0.002872,0.002872,0.002872
74,5044.44,0.53202,0.33317,1.05163,0.99463,1,0.99469,0.89827,0.46571,0.24916,0.99044,0.002773,0.002773,0.002773
